omit,author_date,doi,earliestyear_sampled,latestyear_sampled,method,method_specific,volume_measure,river_ocean,lowestsize_mm,lowest_mesh,vol_L,vol_source,uppersize_mm,Cavg.L,Csd.L,num_samples,total_particles_collected,separation,primary_id,secondary_id,highest_id,no_particles_secondary,validation_rate,top_shape,excluded_particles,topsize_bottom_mm,topsize_upper_mm,avg_size_mm,top_polymer,second_polymer,top_color,second_color,location,lat,long,waterblanks,airblanks,blanks_subtracted,comment
0,Carpenter 1972,https://doi.org/10.1126/science.175.4027.1240,1971,1971,net,conical,not mentioned,marine,0.33,mesh,6992461.664,"calculated, time",,0.000003537,,11,,none,visual,none,visual,,,bead,,2.5,5,,,,white,colored,North Atlantic gyre,32.19014894,-69.51352842,0,0,no,"concentration reported in items/km2. Assumed full circle opening of net submerged. Averaged towing times (hr, table 1)."
0,Colton 1974,https://www.jstor.org/stable/1738284,1972,1972,net,rectangular,time x speed,marine,0.947,mesh,3086670,"calculated, speed",,8.59E-06,,,,none,visual,none,visual,,,bead,,0.947,3,,polystyrene,,clear,,Northwest Atlantic,38.1960403,-73.77002769,0,0,no,"assumed full neuston net mouth submerged during sampling. Took mean counts by item type (table 1), summed and divided by the volume I estimated from net dimensions & tow time+speed. Keep in mind: this is an old study of an old marine."
0,Ryan 1988,https://doi.org/10.1016/0141-1136(88)90015-3,1977,1978,net,rectangular,not mentioned,marine,0.9,mesh,39900,"calculated, distance",,1.73E-05,,1224,839,none,visual,none,visual,,,foam,,,,,polyethylene,,clear/white,,Cape Point,-34.257,18.276,0,0,no,"average tow surface area given, multiplied by 1/2 of trawl opening. Assumed 1/2 of trawl mouth submerged. Converted concentration to /m3 in this way. ""each tow sampled approximately 190m2 of sea surface, assuming efficient net operation""."
0,Lattin 2004,https://doi.org/10.1016/j.marpolbul.2004.01.020,2001,2001,net,manta,flowmeter,marine,0.333,mesh,34377.78713,"calculated, speed",,0.00505,,4,,density,dissecting,none,visual,,,,,,,,,,,,Santa Monica Bay,33.95911297,-118.4717119,0,0,no,included only surface level trawls (averaged across sites). Volume from mesh opening (1/2 height used) trawl time and trawl speed. Concentrations of surface-only from figure 1. 
0,Ivar do Sul 2013,https://doi.org/10.1016/j.marpolbul.2013.07.040,2003,2004,net,conical,flowmeter,marine,0.3,mesh,130910.3072,"calculated, speed",,0.00001,,88,71,none,dissecting,none,visual,,,fragment,,1,5,,polypropylene,polyethylene,clear,black,Saint Peter and Saint Paul Archipelago,0.917128192,-29.34552104,0,0,no,for volume: assumed full net submerged and averaged deployment time range. Sampled depth: 0-.6m
0,Doyle 2011,https://doi.org/10.1016/j.marenvres.2010.10.001,2006,2007,net,manta,flowmeter,marine,0.505,mesh,43881.83697,"calculated, speed",10+,0.000064,,595,,none,stereomicroscope,ftir,ftir,,,fragment,,0.505,2.5,,,,,,North Pacific,42.44970903,-141.0430255,0,0,no,volume is calculated averaging neuston & manta net dimensions/deployment time (assuming manta 1/2 submerged). No specific separation steps mentioned
0,Collignon 2012,https://doi.org/10.1016/j.marpolbul.2012.01.011,2010,2010,net,manta,time x speed,marine,0.333,mesh,92600.1,"calculated, speed",5,0.00116,,40,4371,density,visual,none,visual,,,,,,,,,,,,Northwest Mediterranean Sea,42.76563026,6.227716137,0,0,no,"report in terms of /m2 but also say sampled top 10cm of water. Divided reported concentration by depth. ""strong wind event"""
0,Yonkos 2014,https://doi-org.proxy.library.cornell.edu/10.1021/es5036317,2011,2011,net,manta,GPS distance,estuary,0.33,mesh,157.5,"calculated, distance",5,0.000627141,,60,,WPO,dissecting,Raman,Raman,10,1,fragment,,0.3,2,,polyethylene,,,,Chesapeake Bay,37.77050587,-76.13671742,0,0,no,"estuarine rivers. Reported in items/km2 but I've divided by reported depth of sampling (0-15cm). Volume is distance trawled (avg'ed)*net width * depth sampled (.15). GPS distance not explicitly specified, only ""trawl distance"", but I've inferred it here."
0,Eriksen 2013,https://doi.org/10.1016/j.marpolbul.2012.12.021,2011,2011,net,manta,time x speed,marine,0.333,mesh,90377.6976,"calculated, speed",5+,0.000336225,,48,,density,dissecting,none,visual,,,fragment,,1,4.749,,,,,,South Pacific,-33.85691963,-100.4773372,0,0,no,reported in items/km2. I've converted to /m2 and then divided by net height/2. assumption I've made for volume & concentration is that 1/2 of manta net mouth is submerged during sampling. They calculated distance traveled by multiplying boat speed with 60min constant trawl time.
0,Kang 2015,https://doi.org/10.1016/j.marpolbul.2015.04.054,2012,2012,net,manta,mechanical flowmeter,marine,0.33,mesh,24076.026,"calculated, speed",25,0.0037105,,40,,WPO,dissecting,ftir,ftir,,,foam,,2,5,,polystyrene,alkyd,,,Sea of Korea,35.04813964,128.9193434,0,0,no,"took average of ""approximately 1.5-2.5 knots"" and assumed half of manta net opening was submerged. ?? ** not sure about polymer type and particle type--may have interpreted their words incorrectly about dominant types."
